"mysql","warehouse","invoice_goods","goods_id","3","int",NULL,"FOREIGN KEY","warehouse","t_goods","id"
"mysql","warehouse","t_goods","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","warehouse","t_invoices","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","warehouse","t_invoices","user_id","2","int",NULL,"FOREIGN KEY","warehouse","t_user","id"
"mysql","warehouse","t_user","id","1","int",NULL,"PRIMARY KEY",NULL,NULL,NULL
"mysql","crud","t_user","username","2","varchar","100",NULL,NULL,NULL,NULL
"mysql","crud","t_user","email","3","varchar","100",NULL,NULL,NULL,NULL
"mysql","crud","t_user","password","4","varchar","100",NULL,NULL,NULL,NULL
"mysql","crud","users","first_name","2","varchar","150",NULL,NULL,NULL,NULL
"mysql","crud","users","last_name","3","varchar","150",NULL,NULL,NULL,NULL
"mysql","crud","users","image","4","varchar","150",NULL,NULL,NULL,NULL
"mysql","fyp","event","eventName","2","varchar","100",NULL,NULL,NULL,NULL
"mysql","fyp","event","eventInfo","3","varchar","200",NULL,NULL,NULL,NULL
"mysql","fyp","event","eventLocation","4","varchar","100",NULL,NULL,NULL,NULL
"mysql","fyp","event","eventDate","5","date",NULL,NULL,NULL,NULL,NULL
"mysql","fyp","event","eventContact","6","varchar","100",NULL,NULL,NULL,NULL
"mysql","fyp","event","serviceproviderid","7","int",NULL,NULL,NULL,NULL,NULL
"mysql","fyp","event","requestedbyid","8","int",NULL,NULL,NULL,NULL,NULL
"mysql","fyp","event","response","9","int",NULL,NULL,NULL,NULL,NULL
"mysql","fyp","event","systemstatus","10","int",NULL,NULL,NULL,NULL,NULL
"mysql","fyp","gallery","userid","2","int",NULL,NULL,NULL,NULL,NULL
"mysql","fyp","gallery","filename","3","varchar","100",NULL,NULL,NULL,NULL
"mysql","fyp","gallery","systemstatus","4","int",NULL,NULL,NULL,NULL,NULL
"mysql","fyp","gallery","datetime","5","datetime",NULL,NULL,NULL,NULL,NULL
"mysql","fyp","user","username","2","varchar","30",NULL,NULL,NULL,NULL
"mysql","fyp","user","email","3","varchar","100",NULL,NULL,NULL,NULL
"mysql","fyp","user","password","4","varchar","100",NULL,NULL,NULL,NULL
"mysql","fyp","user","role","5","int",NULL,NULL,NULL,NULL,NULL
"mysql","fyp","user","contact","6","int",NULL,NULL,NULL,NULL,NULL
"mysql","fyp","user","description","7","varchar","500",NULL,NULL,NULL,NULL
"mysql","fyp","user","budget","8","int",NULL,NULL,NULL,NULL,NULL
"mysql","fyp","user","speciality","9","int",NULL,NULL,NULL,NULL,NULL
"mysql","fyp","user","workingexp","10","int",NULL,NULL,NULL,NULL,NULL
"mysql","fyp","user","profilepic","11","varchar","100",NULL,NULL,NULL,NULL
"mysql","fyp","user","systemstatus","12","int",NULL,NULL,NULL,NULL,NULL
"mysql","fyp","user","createdatetime","13","datetime",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","accounts","USER","1","char","16",NULL,NULL,NULL,NULL
"mysql","performance_schema","accounts","HOST","2","char","60",NULL,NULL,NULL,NULL
"mysql","performance_schema","accounts","CURRENT_CONNECTIONS","3","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","accounts","TOTAL_CONNECTIONS","4","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","cond_instances","NAME","1","varchar","128",NULL,NULL,NULL,NULL
"mysql","performance_schema","cond_instances","OBJECT_INSTANCE_BEGIN","2","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_current","THREAD_ID","1","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_current","EVENT_ID","2","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_current","END_EVENT_ID","3","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_current","EVENT_NAME","4","varchar","128",NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_current","SOURCE","5","varchar","64",NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_current","TIMER_START","6","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_current","TIMER_END","7","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_current","TIMER_WAIT","8","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_current","NESTING_EVENT_ID","9","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_current","NESTING_EVENT_TYPE","10","enum","9",NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history","THREAD_ID","1","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history","EVENT_ID","2","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history","END_EVENT_ID","3","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history","EVENT_NAME","4","varchar","128",NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history","SOURCE","5","varchar","64",NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history","TIMER_START","6","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history","TIMER_END","7","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history","TIMER_WAIT","8","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history","NESTING_EVENT_ID","9","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history","NESTING_EVENT_TYPE","10","enum","9",NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history_long","THREAD_ID","1","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history_long","EVENT_ID","2","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history_long","END_EVENT_ID","3","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history_long","EVENT_NAME","4","varchar","128",NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history_long","SOURCE","5","varchar","64",NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history_long","TIMER_START","6","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history_long","TIMER_END","7","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history_long","TIMER_WAIT","8","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history_long","NESTING_EVENT_ID","9","bigint",NULL,NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_history_long","NESTING_EVENT_TYPE","10","enum","9",NULL,NULL,NULL,NULL
"mysql","performance_schema","events_stages_summary_by_account_by_event_name","USER","1","char","16",NULL,NULL,NULL,NULL
